orden,prioridad,tipo_contacto,negocio,rubro,telefono_internacional,instagram,google_maps,mensaje_personalizado,whatsapp_con_mensaje,estado,fecha_verificacion
1,Alta,Instagram/WhatsApp publicado,AM Beauty Studio,Centro de estética,AR +54 9 353 413-3933,https://www.instagram.com/ambeautystudio.vm/,https://www.google.com/maps/place/AM+Beauty+Studio+Villa+Mar%C3%ADa/data=!4m7!3m6!1s0x95cc43003c64fe23:0x5c4681b11f932cea!8m2!3d-32.4168081!4d-63.2353874!16s%2Fg%2F11z6fvwjm3,"Hola, ¿cómo estás? Estuve viendo AM Beauty Studio y pensé que Imán Turnos podría ayudarles a ordenar las reservas de los distintos servicios y aprovechar mejor cada espacio de la agenda. Mi propuesta es bien personalizada: yo mismo te configuro servicios, horarios y la página con la identidad del negocio, y te acompaño por WhatsApp hasta que quede funcionando. ¿Querés que te prepare una muestra para AM Beauty Studio, sin compromiso?",https://wa.me/5493534133933?text=Hola%2C%20%C2%BFc%C3%B3mo%20est%C3%A1s%3F%20Estuve%20viendo%20AM%20Beauty%20Studio%20y%20pens%C3%A9%20que%20Im%C3%A1n%20Turnos%20podr%C3%ADa%20ayudarles%20a%20ordenar%20las%20reservas%20de%20los%20distintos%20servicios%20y%20aprovechar%20mejor%20cada%20espacio%20de%20la%20agenda.%20Mi%20propuesta%20es%20bien%20personalizada%3A%20yo%20mismo%20te%20configuro%20servicios%2C%20horarios%20y%20la%20p%C3%A1gina%20con%20la%20identidad%20del%20negocio%2C%20y%20te%20acompa%C3%B1o%20por%20WhatsApp%20hasta%20que%20quede%20funcionando.%20%C2%BFQuer%C3%A9s%20que%20te%20prepare%20una%20muestra%20para%20AM%20Beauty%20Studio%2C%20sin%20compromiso%3F,Pendiente,2026-07-15
2,Alta,Instagram/WhatsApp publicado,Calma Spa,Spa,AR +54 9 353 445-5743,https://www.instagram.com/calma.vm/,https://www.google.com/maps/place/Calma+Spa/data=!4m7!3m6!1s0x95cc43004a6b8513:0xf6044487624e60d9!8m2!3d-32.4135363!4d-63.2468336!16s%2Fg%2F11vzzqg_qt,"Hola, ¿cómo estás? Estuve viendo Calma Spa y pensé que Imán Turnos podría ayudarles a organizar tratamientos de distintas duraciones y reducir huecos entre reservas. Mi propuesta es bien personalizada: yo mismo te configuro servicios, horarios y la página con la identidad del negocio, y te acompaño por WhatsApp hasta que quede funcionando. ¿Querés que te prepare una muestra para Calma Spa, sin compromiso?",https://wa.me/5493534455743?text=Hola%2C%20%C2%BFc%C3%B3mo%20est%C3%A1s%3F%20Estuve%20viendo%20Calma%20Spa%20y%20pens%C3%A9%20que%20Im%C3%A1n%20Turnos%20podr%C3%ADa%20ayudarles%20a%20organizar%20tratamientos%20de%20distintas%20duraciones%20y%20reducir%20huecos%20entre%20reservas.%20Mi%20propuesta%20es%20bien%20personalizada%3A%20yo%20mismo%20te%20configuro%20servicios%2C%20horarios%20y%20la%20p%C3%A1gina%20con%20la%20identidad%20del%20negocio%2C%20y%20te%20acompa%C3%B1o%20por%20WhatsApp%20hasta%20que%20quede%20funcionando.%20%C2%BFQuer%C3%A9s%20que%20te%20prepare%20una%20muestra%20para%20Calma%20Spa%2C%20sin%20compromiso%3F,Pendiente,2026-07-15
3,Alta,Instagram/WhatsApp publicado,Romeli Piercing and Tattoo,Tattoo y piercing,AR +54 9 353 427-3891,https://www.instagram.com/romelitattoo/,https://www.google.com/maps/place/Romeli+Piercing+and+Tattoo/data=!4m7!3m6!1s0x95cc42e72fceaf33:0x359c62403794e34b!8m2!3d-32.412051!4d-63.243885!16s%2Fg%2F11bw5mf6q6,"Hola, ¿cómo estás? Estuve viendo Romeli Piercing and Tattoo y pensé que Imán Turnos podría ayudarles a separar consultas de reservas y ordenar mejor las sesiones. Mi propuesta es bien personalizada: yo mismo te configuro servicios, horarios y la página con la identidad del negocio, y te acompaño por WhatsApp hasta que quede funcionando. ¿Querés que te prepare una muestra para Romeli Piercing and Tattoo, sin compromiso?",https://wa.me/5493534273891?text=Hola%2C%20%C2%BFc%C3%B3mo%20est%C3%A1s%3F%20Estuve%20viendo%20Romeli%20Piercing%20and%20Tattoo%20y%20pens%C3%A9%20que%20Im%C3%A1n%20Turnos%20podr%C3%ADa%20ayudarles%20a%20separar%20consultas%20de%20reservas%20y%20ordenar%20mejor%20las%20sesiones.%20Mi%20propuesta%20es%20bien%20personalizada%3A%20yo%20mismo%20te%20configuro%20servicios%2C%20horarios%20y%20la%20p%C3%A1gina%20con%20la%20identidad%20del%20negocio%2C%20y%20te%20acompa%C3%B1o%20por%20WhatsApp%20hasta%20que%20quede%20funcionando.%20%C2%BFQuer%C3%A9s%20que%20te%20prepare%20una%20muestra%20para%20Romeli%20Piercing%20and%20Tattoo%2C%20sin%20compromiso%3F,Pendiente,2026-07-15
4,Alta,Instagram/WhatsApp publicado,YB Peluquería Femenina,Peluquería,AR +54 9 353 657-4962,https://www.instagram.com/yb_peluqueriafemenina/,https://www.google.com/maps/place/Yb+peluquer%C3%ADa+femenina/data=!4m7!3m6!1s0x95cc43000e915d29:0x433994069200095c!8m2!3d-32.3987721!4d-63.2405889!16s%2Fg%2F11mld8kjnv,"Hola, ¿cómo estás? Estuve viendo YB Peluquería Femenina y pensé que Imán Turnos podría ayudarles a ordenar servicios con distintas duraciones y dejar que las clientas reserven sin esperar respuesta. Mi propuesta es bien personalizada: yo mismo te configuro servicios, horarios y la página con la identidad del negocio, y te acompaño por WhatsApp hasta que quede funcionando. ¿Querés que te prepare una muestra para YB Peluquería Femenina, sin compromiso?",https://wa.me/5493536574962?text=Hola%2C%20%C2%BFc%C3%B3mo%20est%C3%A1s%3F%20Estuve%20viendo%20YB%20Peluquer%C3%ADa%20Femenina%20y%20pens%C3%A9%20que%20Im%C3%A1n%20Turnos%20podr%C3%ADa%20ayudarles%20a%20ordenar%20servicios%20con%20distintas%20duraciones%20y%20dejar%20que%20las%20clientas%20reserven%20sin%20esperar%20respuesta.%20Mi%20propuesta%20es%20bien%20personalizada%3A%20yo%20mismo%20te%20configuro%20servicios%2C%20horarios%20y%20la%20p%C3%A1gina%20con%20la%20identidad%20del%20negocio%2C%20y%20te%20acompa%C3%B1o%20por%20WhatsApp%20hasta%20que%20quede%20funcionando.%20%C2%BFQuer%C3%A9s%20que%20te%20prepare%20una%20muestra%20para%20YB%20Peluquer%C3%ADa%20Femenina%2C%20sin%20compromiso%3F,Pendiente,2026-07-15
5,Alta,Instagram/WhatsApp publicado,Eliana Ahumada Peluquería,Peluquería,AR +54 9 353 482-1456,https://www.instagram.com/eliana.ahumada.peluqueria/,https://www.google.com/maps/place/Eliana+Ahumada+Peluqueria/data=!4m7!3m6!1s0x95cc434e576722fb:0xab05e9569bfe724!8m2!3d-32.4022018!4d-63.2355837!16s%2Fg%2F11zjlx49kv,"Hola, ¿cómo estás? Estuve viendo Eliana Ahumada Peluquería y pensé que Imán Turnos podría ayudarles a recibir reservas incluso cuando estás atendiendo y evitar tantos mensajes de ida y vuelta. Mi propuesta es bien personalizada: yo mismo te configuro servicios, horarios y la página con la identidad del negocio, y te acompaño por WhatsApp hasta que quede funcionando. ¿Querés que te prepare una muestra para Eliana Ahumada Peluquería, sin compromiso?",https://wa.me/5493534821456?text=Hola%2C%20%C2%BFc%C3%B3mo%20est%C3%A1s%3F%20Estuve%20viendo%20Eliana%20Ahumada%20Peluquer%C3%ADa%20y%20pens%C3%A9%20que%20Im%C3%A1n%20Turnos%20podr%C3%ADa%20ayudarles%20a%20recibir%20reservas%20incluso%20cuando%20est%C3%A1s%20atendiendo%20y%20evitar%20tantos%20mensajes%20de%20ida%20y%20vuelta.%20Mi%20propuesta%20es%20bien%20personalizada%3A%20yo%20mismo%20te%20configuro%20servicios%2C%20horarios%20y%20la%20p%C3%A1gina%20con%20la%20identidad%20del%20negocio%2C%20y%20te%20acompa%C3%B1o%20por%20WhatsApp%20hasta%20que%20quede%20funcionando.%20%C2%BFQuer%C3%A9s%20que%20te%20prepare%20una%20muestra%20para%20Eliana%20Ahumada%20Peluquer%C3%ADa%2C%20sin%20compromiso%3F,Pendiente,2026-07-15
6,Alta,Instagram/WhatsApp publicado,Khalor House,Barbería,AR +54 9 353 417-8288,https://www.instagram.com/khalorhouse/,https://www.google.com/maps/place/Khalor+House/data=!4m7!3m6!1s0x95cc43505fc8c855:0xce7e78d0f5103e4!8m2!3d-32.4058562!4d-63.2325686!16s%2Fg%2F11w9fhl7jp,"Hola, ¿cómo estás? Estuve viendo Khalor House y pensé que Imán Turnos podría ayudarles a hacer que cada cliente elija servicio y horario sin tener que coordinar todo por chat. Mi propuesta es bien personalizada: yo mismo te configuro servicios, horarios y la página con la identidad del negocio, y te acompaño por WhatsApp hasta que quede funcionando. ¿Querés que te prepare una muestra para Khalor House, sin compromiso?",https://wa.me/5493534178288?text=Hola%2C%20%C2%BFc%C3%B3mo%20est%C3%A1s%3F%20Estuve%20viendo%20Khalor%20House%20y%20pens%C3%A9%20que%20Im%C3%A1n%20Turnos%20podr%C3%ADa%20ayudarles%20a%20hacer%20que%20cada%20cliente%20elija%20servicio%20y%20horario%20sin%20tener%20que%20coordinar%20todo%20por%20chat.%20Mi%20propuesta%20es%20bien%20personalizada%3A%20yo%20mismo%20te%20configuro%20servicios%2C%20horarios%20y%20la%20p%C3%A1gina%20con%20la%20identidad%20del%20negocio%2C%20y%20te%20acompa%C3%B1o%20por%20WhatsApp%20hasta%20que%20quede%20funcionando.%20%C2%BFQuer%C3%A9s%20que%20te%20prepare%20una%20muestra%20para%20Khalor%20House%2C%20sin%20compromiso%3F,Pendiente,2026-07-15
7,Alta,Instagram/WhatsApp publicado,AGUS MR Nails,Uñas y academia,AR +54 9 353 476-5970,,https://www.google.com/maps/place/AGUS+MR+NAILS+-+STORE+-+ACADEMY/data=!4m7!3m6!1s0x95cc4324c11d6337:0x4c97a2c476c67b40!8m2!3d-32.4108173!4d-63.2502016!16s%2Fg%2F11pztq9td9,"Hola, ¿cómo estás? Estuve viendo AGUS MR Nails y pensé que Imán Turnos podría ayudarles a separar los turnos de servicios de uñas y ordenar mejor cada bloque de trabajo. Mi propuesta es bien personalizada: yo mismo te configuro servicios, horarios y la página con la identidad del negocio, y te acompaño por WhatsApp hasta que quede funcionando. ¿Querés que te prepare una muestra para AGUS MR Nails, sin compromiso?",https://wa.me/5493534765970?text=Hola%2C%20%C2%BFc%C3%B3mo%20est%C3%A1s%3F%20Estuve%20viendo%20AGUS%20MR%20Nails%20y%20pens%C3%A9%20que%20Im%C3%A1n%20Turnos%20podr%C3%ADa%20ayudarles%20a%20separar%20los%20turnos%20de%20servicios%20de%20u%C3%B1as%20y%20ordenar%20mejor%20cada%20bloque%20de%20trabajo.%20Mi%20propuesta%20es%20bien%20personalizada%3A%20yo%20mismo%20te%20configuro%20servicios%2C%20horarios%20y%20la%20p%C3%A1gina%20con%20la%20identidad%20del%20negocio%2C%20y%20te%20acompa%C3%B1o%20por%20WhatsApp%20hasta%20que%20quede%20funcionando.%20%C2%BFQuer%C3%A9s%20que%20te%20prepare%20una%20muestra%20para%20AGUS%20MR%20Nails%2C%20sin%20compromiso%3F,Pendiente,2026-07-15
8,Alta,Instagram/WhatsApp publicado,Nails Studio by Anye,Uñas,AR +54 9 353 656-6157,https://www.instagram.com/nailsby.anye/,https://www.google.com/maps/place/Nails+Studio+by+Anye/data=!4m7!3m6!1s0x95cc43004200dac5:0xddcfeb38a30aa949!8m2!3d-32.4100741!4d-63.2357674!16s%2Fg%2F11z9bw4t8k,"Hola, ¿cómo estás? Estuve viendo Nails Studio by Anye y pensé que Imán Turnos podría ayudarles a acomodar servicios de distinta duración y llenar más fácilmente los horarios disponibles. Mi propuesta es bien personalizada: yo mismo te configuro servicios, horarios y la página con la identidad del negocio, y te acompaño por WhatsApp hasta que quede funcionando. ¿Querés que te prepare una muestra para Nails Studio by Anye, sin compromiso?",https://wa.me/5493536566157?text=Hola%2C%20%C2%BFc%C3%B3mo%20est%C3%A1s%3F%20Estuve%20viendo%20Nails%20Studio%20by%20Anye%20y%20pens%C3%A9%20que%20Im%C3%A1n%20Turnos%20podr%C3%ADa%20ayudarles%20a%20acomodar%20servicios%20de%20distinta%20duraci%C3%B3n%20y%20llenar%20m%C3%A1s%20f%C3%A1cilmente%20los%20horarios%20disponibles.%20Mi%20propuesta%20es%20bien%20personalizada%3A%20yo%20mismo%20te%20configuro%20servicios%2C%20horarios%20y%20la%20p%C3%A1gina%20con%20la%20identidad%20del%20negocio%2C%20y%20te%20acompa%C3%B1o%20por%20WhatsApp%20hasta%20que%20quede%20funcionando.%20%C2%BFQuer%C3%A9s%20que%20te%20prepare%20una%20muestra%20para%20Nails%20Studio%20by%20Anye%2C%20sin%20compromiso%3F,Pendiente,2026-07-15
9,Alta,Instagram/WhatsApp publicado,Bela Centro de Estética,Centro de estética,AR +54 9 353 440-7017,https://www.instagram.com/bela.estetica.vm/,https://www.google.com/maps/place/Bela+-+Centro+de+Est%C3%A9tica/data=!4m7!3m6!1s0x95cc43da347066db:0xc3315101b4aa3a56!8m2!3d-32.4072199!4d-63.2438316!16s%2Fg%2F11wj5sp6bq,"Hola, ¿cómo estás? Estuve viendo Bela Centro de Estética y pensé que Imán Turnos podría ayudarles a centralizar reservas y hacer que cada clienta encuentre un horario disponible sin esperar respuesta. Mi propuesta es bien personalizada: yo mismo te configuro servicios, horarios y la página con la identidad del negocio, y te acompaño por WhatsApp hasta que quede funcionando. ¿Querés que te prepare una muestra para Bela Centro de Estética, sin compromiso?",https://wa.me/5493534407017?text=Hola%2C%20%C2%BFc%C3%B3mo%20est%C3%A1s%3F%20Estuve%20viendo%20Bela%20Centro%20de%20Est%C3%A9tica%20y%20pens%C3%A9%20que%20Im%C3%A1n%20Turnos%20podr%C3%ADa%20ayudarles%20a%20centralizar%20reservas%20y%20hacer%20que%20cada%20clienta%20encuentre%20un%20horario%20disponible%20sin%20esperar%20respuesta.%20Mi%20propuesta%20es%20bien%20personalizada%3A%20yo%20mismo%20te%20configuro%20servicios%2C%20horarios%20y%20la%20p%C3%A1gina%20con%20la%20identidad%20del%20negocio%2C%20y%20te%20acompa%C3%B1o%20por%20WhatsApp%20hasta%20que%20quede%20funcionando.%20%C2%BFQuer%C3%A9s%20que%20te%20prepare%20una%20muestra%20para%20Bela%20Centro%20de%20Est%C3%A9tica%2C%20sin%20compromiso%3F,Pendiente,2026-07-15
10,Alta,Instagram/WhatsApp publicado,Piercing VM,Piercing,AR +54 9 353 424-1091,https://www.instagram.com/piercingvm/,https://www.google.com/maps/place/Piercing+vm+@piercingvm/data=!4m7!3m6!1s0x95cc4314d1c6f003:0xba91d006db8d9ce1!8m2!3d-32.4030104!4d-63.2421902!16s%2Fg%2F11t47cwq4g,"Hola, ¿cómo estás? Estuve viendo Piercing VM y pensé que Imán Turnos podría ayudarles a separar las consultas del momento de reservar y ordenar los espacios del estudio. Mi propuesta es bien personalizada: yo mismo te configuro servicios, horarios y la página con la identidad del negocio, y te acompaño por WhatsApp hasta que quede funcionando. ¿Querés que te prepare una muestra para Piercing VM, sin compromiso?",https://wa.me/5493534241091?text=Hola%2C%20%C2%BFc%C3%B3mo%20est%C3%A1s%3F%20Estuve%20viendo%20Piercing%20VM%20y%20pens%C3%A9%20que%20Im%C3%A1n%20Turnos%20podr%C3%ADa%20ayudarles%20a%20separar%20las%20consultas%20del%20momento%20de%20reservar%20y%20ordenar%20los%20espacios%20del%20estudio.%20Mi%20propuesta%20es%20bien%20personalizada%3A%20yo%20mismo%20te%20configuro%20servicios%2C%20horarios%20y%20la%20p%C3%A1gina%20con%20la%20identidad%20del%20negocio%2C%20y%20te%20acompa%C3%B1o%20por%20WhatsApp%20hasta%20que%20quede%20funcionando.%20%C2%BFQuer%C3%A9s%20que%20te%20prepare%20una%20muestra%20para%20Piercing%20VM%2C%20sin%20compromiso%3F,Pendiente,2026-07-15
